"","species","genect","genelen_mean","genelen_sd","intronlen_mean","intronlen_sd","intronct_mean","intronct_sd","exonlen_mean","exonlen_sd","genome_size","contig_count"
"Gloac1","Gloac1",15777,"1530.791","1023.641","89.976","187.037","1.826","1.890","541.630","633.032",50035977,307
"Gloci1","Gloci1",18975,"1437.272","996.469","93.269","257.528","1.787","1.855","515.680","613.303",58838139,119
"Glonio1","Glonio1",12423,"1674.087","1068.443","78.348","81.720","2.097","1.959","540.636","633.161",35836257,71
"Glost2","Glost2",14362,"1447.780","1112.849","87.446","135.375","2.143","2.141","460.624","564.161",40521621,2730
"Golci1","Golci1",6782,"1483.422","1100.003","80.983","123.592","2.425","2.495","433.085","508.280",146841591,821
"Ganpr1","Ganpr1",13902,"1388.374","1019.781","93.866","119.263","4.577","4.323","248.967","296.558",48794828,352
"Gonbut1","Gonbut1",11004,"1442.639","1070.098","94.763","64.047","3.430","3.359","325.644","376.155",33012461,112
"Gorhay1","Gorhay1",7898,"1350.490","1067.151","37.764","91.517","1.419","1.688","558.263","581.236",13983420,27
"Greab1","Greab1",11131,"1547.453","1077.494","87.958","96.210","1.887","1.732","536.044","656.378",38809823,362
"Grocl1","Grocl1",8312,"1638.612","1242.809","122.758","175.942","1.855","1.843","574.036","754.084",29794006,289
"Guyne1","Guyne1",14276,"1316.867","950.991","64.123","137.218","4.977","4.760","220.329","263.356",53686691,168
"Gymau1","Gymau1",9106,"1609.896","1140.894","85.144","164.709","2.118","2.047","516.405","645.389",25350464,347
"Gymci1_1","Gymci1_1",9779,"1555.823","1126.713","82.074","137.423","1.993","2.016","519.830","634.781",25160636,272
"Gymch1","Gymch1",18193,"1393.093","976.637","69.249","109.383","4.509","4.651","252.886","321.357",47223541,1949
"Gymjun1","Gymjun1",15883,"1328.093","934.889","69.034","73.609","4.883","4.752","225.760","266.783",59461163,1174
"Gyman1","Gyman1",29375,"1143.446","867.007","75.778","174.449","4.428","4.644","210.666","244.797",89149538,2516
"Gymear1","Gymear1",25529,"1235.504","933.210","70.017","84.284","4.420","4.614","227.973","284.674",91673264,245
"Gymlu1","Gymlu1",22057,"1232.554","944.308","78.280","423.955","4.261","4.547","234.301","288.795",66281680,383
"Gyrli1","Gyrli1",11779,"1377.017","1064.426","73.241","297.050","4.754","4.693","239.330","287.101",43048674,369
"Gyresc1","Gyresc1",11202,"1488.418","1079.971","82.420","81.219","2.544","2.508","419.981","483.263",45046303,271
"Halrad1","Halrad1",10175,"1483.795","1058.927","90.188","64.657","4.088","3.755","291.651","351.586",26215609,22
"Hanva1_1","Hanva1_1",4800,"1484.215","1014.163","438.679","1331.787","0.203","0.501","1233.419","977.871",11464179,647
"Hebcy2","Hebcy2",15382,"1336.818","1001.605","68.589","157.061","4.242","4.577","255.031","312.487",38226047,176
"Helpul1","Helpul1",12794,"1377.285","1009.876","80.606","78.756","3.070","2.782","338.371","428.792",32727348,233
"Helsul1","Helsul1",12570,"1248.696","971.991","62.367","51.767","4.727","4.733","218.053","274.843",31948515,87
"Hercor1","Hercor1",12369,"1540.760","977.975","64.681","58.314","5.090","4.591","252.999","304.875",35332148,125
"Herpot1_1","Herpot1_1",15663,"1662.372","1114.028","82.799","101.664","1.856","1.806","582.135","674.502",52395805,36
"Hesve2finisherSC","Hesve2finisherSC",11141,"1343.617","1037.556","76.114","62.918","3.571","3.485","293.970","337.780",27216191,114
"Hetan2","Hetan2",13383,"1251.340","1008.149","78.835","207.473","4.391","4.686","232.116","284.567",33649967,15
"Hethyg1","Hethyg1",7158,"1911.920","1292.622","108.824","88.914","2.832","2.434","498.944","636.557",25986125,75
"Hetpy1","Hetpy1",7658,"1495.547","1002.414","47.716","42.874","5.079","4.212","246.008","277.941",17579447,117
"Hexnit1","Hexnit1",14981,"1440.371","950.294","74.218","81.096","4.827","4.542","247.173","292.997",41833432,33
"Hisca1","Hisca1",9251,"1368.929","1042.144","137.401","122.262","2.308","1.946","413.868","545.269",32988475,275
"Hompol1","Hompol1",7123,"1149.359","967.775","146.057","163.191","3.127","3.165","278.522","336.526",21324754,3517
"Horac1","Horac1",9831,"1553.938","1005.886","69.880","61.179","1.333","1.539","666.061","792.146",20432448,39
"Horwer1","Horwer1",15748,"1529.725","1053.849","99.541","179.381","1.273","1.410","673.040","830.637",49942992,651
"Hyabl1","Hyabl1",7872,"1276.774","978.365","47.884","33.712","4.704","4.159","223.843","264.710",17929094,210
"Hyacur1","Hyacur1",15197,"1469.319","880.231","69.314","60.829","2.517","3.001","417.806","459.203",31926619,55
"Hydpi2","Hydpi2",13270,"1351.833","1026.105","74.048","234.085","4.835","4.846","231.663","282.221",38278792,603
"Hydfim1","Hydfim1",12424,"1483.832","1002.317","67.148","55.254","5.217","4.685","238.664","294.419",34571335,256
"Hydru2","Hydru2",18665,"982.380","889.377","80.228","88.411","4.112","4.491","192.178","220.962",67135451,1072
"Hygaur1","Hygaur1",14285,"1428.480","973.018","66.167","58.419","5.100","4.798","234.186","286.450",36975565,2305
"Hymrad1","Hymrad1",27453,"1034.584","824.130","64.565","78.505","4.049","4.380","204.905","238.839",78586887,1968
"Hymvar1","Hymvar1",14929,"1569.752","1080.982","75.630","89.094","2.048","1.990","515.040","619.073",48242133,106
"Hypsu1","Hypsu1",17911,"1319.176","962.307","72.384","164.883","4.287","4.569","249.493","308.318",48031814,704
"Hypbu1","Hypbu1",6002,"1520.622","1083.261","190.113","341.785","0.221","0.553","1244.956","1054.934",12403110,27
"HypCI4A_1","HypCI4A_1",11712,"1600.364","1066.848","87.440","153.906","1.836","1.823","564.358","662.691",37704138,899
"HypCO275_1","HypCO275_1",12256,"1589.688","1077.800","110.478","498.364","1.903","1.877","547.543","654.132",46585682,505
"HypEC38_3","HypEC38_3",12534,"1580.042","1093.389","110.048","430.304","1.931","1.950","539.082","651.088",47717833,288
"Hyssto1","Hyssto1",15017,"1200.370","954.999","73.426","85.917","5.352","5.056","188.981","237.638",111842964,652
"Hyspu1_1","Hyspu1_1",12352,"1526.590","1164.199","92.502","101.351","2.162","2.244","482.793","622.112",38427427,586
"Ilyeu1","Ilyeu1",20870,"1515.218","1119.830","78.598","95.565","1.860","2.018","529.745","633.037",62828295,81
"Ilyrob1","Ilyrob1",20499,"1468.948","1098.177","82.930","106.323","1.815","1.955","521.907","640.782",59648482,268
"Ilysp1","Ilysp1",22250,"1447.755","1085.702","88.914","230.683","1.811","1.980","515.079","613.767",63663791,325
"Irplac1","Irplac1",15319,"1407.303","951.570","69.419","64.524","5.068","4.693","231.914","279.417",47742868,424
"Issori2","Issori2",4900,"1656.276","1063.617","114.243","177.497","0.522","1.605","1088.048","1013.158",21860574,156
"Isori2","Isori2",4858,"1672.203","1067.554","139.307","195.567","0.387","1.109","1205.276","1031.562",23081982,135
"Issorie2","Issorie2",4887,"1676.059","1070.286","131.155","192.731","0.388","1.312","1207.741","1037.911",21693996,130
"Jaaar1","Jaaar1",16419,"1354.870","980.938","68.998","119.747","4.533","4.689","244.890","296.066",45045919,295
"Jahaq1","Jahaq1",15525,"1649.034","1092.296","83.904","104.005","1.887","1.862","571.291","658.034",46563677,232
"Jamsp1","Jamsp1",6858,"1621.493","1270.635","94.486","86.663","1.384","1.474","680.259","940.164",16615586,21
"Jimfl_AD_1","Jimfl_AD_1",13838,"1288.723","1130.339","121.084","140.114","3.371","3.965","294.810","375.873",231316372,35354
"Jimfl_GMNB39_1","Jimfl_GMNB39_1",13653,"1340.616","1217.256","119.894","131.656","3.390","4.131","305.414","388.210",239574967,33875
"Jimlac1","Jimlac1",12651,"922.004","770.671","109.153","98.075","1.907","2.125","317.197","410.395",179670541,45525
"Kalpfe1","Kalpfe1",15190,"1305.651","1055.381","93.529","117.202","2.318","2.672","393.548","461.650",78991937,595
"Karrh1","Karrh1",15043,"1518.049","1048.350","92.230","362.716","1.707","1.723","560.833","637.650",45074449,139
"Kazaf1","Kazaf1",5378,"1460.526","1079.342","170.512","134.551","0.037","0.195","1407.907","1092.685",11130140,12
"Khuory1","Khuory1",13375,"1467.209","1039.939","111.750","157.243","1.579","1.757","568.875","660.411",46052188,68
"Kicala1","Kicala1",7475,"1429.253","1109.111","119.237","197.121","1.230","3.043","640.892","816.311",22263034,215
"Klula1","Klula1",5076,"1456.851","1056.994","292.537","233.761","0.034","0.188","1408.299","1069.887",10689156,6
"Kocim1","Kocim1",7393,"1673.547","1068.253","54.893","36.293","5.276","4.335","266.667","336.464",17465713,38
"Kurca1","Kurca1",6029,"1385.605","1028.264","83.893","61.272","0.176","0.436","1177.920","1055.558",11371246,7
"Lacam2","Lacam2",17553,"1237.897","979.123","67.869","84.467","4.116","4.270","241.955","295.210",52581404,1299
"Lacbi2","Lacbi2",23131,"1163.444","1008.449","90.218","241.373","4.277","4.328","220.488","282.428",60707050,55
"Lacsu1","Lacsu1",11875,"1682.393","1097.742","80.524","89.351","2.184","2.081","528.376","612.898",33858279,49
"Lacaka1","Lacaka1",12853,"1452.252","995.887","65.545","63.785","5.020","4.638","241.241","282.920",80299772,844
"Lacdel1","Lacdel1",17486,"1382.510","995.618","69.783","81.146","4.789","4.611","238.811","285.612",96043985,717
"Lachat1","Lachat1",16236,"1403.890","995.423","68.783","77.075","4.845","4.539","240.190","286.307",95486030,815
"Lachen1","Lachen1",15957,"1341.775","963.020","71.721","87.557","4.679","4.363","236.277","273.717",61963203,1825
"Lacpsa1","Lacpsa1",13442,"1450.729","1045.561","69.204","72.765","5.041","4.738","240.139","294.942",69824043,1433
"Lacpse1","Lacpse1",20824,"1315.920","956.839","73.137","93.884","4.578","4.393","235.909","277.978",99708583,1350
"Lacqui1","Lacqui1",18345,"1242.914","913.467","71.284","85.987","4.559","4.494","223.568","256.994",115901997,2812
"Lacsan1","Lacsan1",16892,"1379.531","980.931","70.926","83.926","4.717","4.544","241.285","288.266",86240450,986
"Lacviv1","Lacviv1",11612,"1500.904","1029.340","64.797","61.308","5.181","4.603","242.828","293.203",69041955,1123
"Lacsub1","Lacsub1",12802,"1322.195","1002.800","67.357","62.806","4.418","4.489","244.017","293.191",44824221,1468
"Lacvol1","Lacvol1",14052,"1267.852","946.502","66.934","62.779","4.509","4.493","230.155","262.136",62975844,712
"Laesu1","Laesu1",13774,"1348.545","1008.029","73.222","213.170","4.720","4.779","235.763","283.347",39916888,403
"Lasmin1","Lasmin1",14970,"1432.660","1086.500","111.920","144.310","1.816","1.898","508.788","634.339",49418628,10
"Lasov1","Lasov1",14921,"1609.234","1112.068","109.434","140.351","1.898","1.965","555.369","662.869",51771160,36
"Bombar1","Bombar1",15812,"1581.305","1085.846","87.607","121.739","1.798","1.865","565.245","656.831",49085029,12
"Lashir1","Lashir1",14131,"1483.098","1078.565","91.484","121.031","1.708","1.802","547.626","653.051",44448086,14
"Lashi1","Lashi1",14680,"1603.306","1122.043","97.141","142.222","1.706","1.908","592.576","685.390",48441159,24
"Laxbic1","Laxbic1",11147,"1508.066","991.985","65.649","69.023","5.275","4.669","240.324","280.379",40781994,1042
"LecAK0013_1","LecAK0013_1",12290,"1520.889","1065.010","91.213","116.268","1.572","1.858","591.361","707.195",45654947,171
"Tralac1","Tralac1",12284,"1534.127","991.521","68.493","57.389","5.106","4.721","251.239","305.140",36341856,44
"Tramen1","Tramen1",12529,"1518.398","981.484","69.541","63.685","5.084","4.698","249.561","304.513",35218293,96
"Leisp1","Leisp1",13763,"1249.503","956.853","69.299","60.794","4.533","4.686","225.827","284.305",34515440,549
"Lenvul1","Lenvul1",13477,"1201.663","958.854","63.261","51.729","4.394","4.616","222.784","275.439",34711142,578
"Lenafn_TMI1502_1","Lenafn_TMI1502_1",12462,"1292.826","965.360","69.286","75.687","5.070","4.760","212.982","261.365",38884662,1973
"Lenafn1","Lenafn1",13891,"1439.426","1008.049","64.584","56.016","5.144","4.839","234.288","290.637",44793336,92
"Lened_B_1_1","Lened_B_1_1",14002,"1019.315","715.670","80.693","128.655","4.143","3.966","198.176","240.046",46106741,31
"Lenedo1","Lenedo1",14079,"1428.576","1019.427","65.144","60.755","5.061","4.826","235.719","295.057",45594472,128
"Lenlat1","Lenlat1",13354,"1444.233","1008.360","64.250","55.400","5.103","4.777","236.662","294.071",45430989,214
"Lennov1","Lennov1",12286,"1307.374","964.862","68.711","71.280","5.139","4.781","212.978","262.190",35621183,1732
"Lenrap1","Lenrap1",16189,"1403.307","974.354","67.009","65.562","4.799","4.677","241.986","293.836",49067377,77
"Lenra_T_1","Lenra_T_1",14961,"1445.698","954.583","64.866","52.783","4.802","4.663","249.151","299.569",38978753,2325
"Lenrap1_155","Lenrap1_155",14352,"1283.181","925.414","71.775","82.100","4.852","4.674","219.262","266.119",40086852,2133
"Lenti6_1","Lenti6_1",15581,"1426.909","954.090","75.291","224.651","4.587","4.452","255.384","301.148",39878053,286
"Lenti7_1","Lenti7_1",15380,"1436.072","954.896","76.466","288.114","4.632","4.453","254.976","301.298",39530113,207
"Sisbr1","Sisbr1",15653,"1435.596","953.014","73.805","116.780","4.570","4.444","257.758","303.959",39762478,263
"Lenfl1","Lenfl1",16742,"1417.971","1047.927","98.312","332.510","1.689","1.740","527.384","617.908",54688705,195
"Phimu1","Phimu1",17024,"1646.489","1037.629","77.787","79.209","2.262","2.141","504.678","580.546",54044039,43
"Leppa1","Leppa1",13870,"1464.704","1100.017","88.906","150.937","2.016","2.112","485.585","598.210",45668136,3371
"Lepnud1","Lepnud1",14880,"1391.153","981.122","60.201","46.508","5.131","5.102","226.913","287.844",43493018,822
"Lepor2","Lepor2",21254,"1533.890","1018.215","83.965","101.326","2.214","2.153","477.185","554.853",77016911,70
"Leptod1","Leptod1",22064,"1373.282","1000.247","86.558","106.139","2.035","2.103","452.551","530.913",73780780,815
"Lepmol1","Lepmol1",11682,"1572.093","1007.124","64.943","53.248","5.610","4.782","237.836","282.633",53014723,337
"Lepmu1","Lepmu1",12469,"1258.299","1163.635","103.053","103.731","1.823","1.856","445.718","646.662",44892605,41
"Leugo1_1","Leugo1_1",5420,"1189.337","926.837","71.474","76.994","4.589","4.483","212.781","262.165",101584475,92785
"Leumo1","Leumo1",14619,"1373.583","1011.782","65.576","105.980","4.887","4.884","233.328","286.548",35193237,1262
"Leucr1","Leucr1",9854,"1549.641","1043.102","84.387","72.578","5.848","4.653","226.295","271.113",26329764,177
"Liccor1","Liccor1",13404,"1293.373","1077.872","76.564","120.432","3.986","4.008","259.375","338.622",33525905,207
"Lichy1","Lichy1",12061,"1363.375","1028.469","69.429","74.238","3.987","3.766","273.359","338.545",33282407,2222
"Linpe1","Linpe1",9351,"1323.177","1042.442","91.058","155.151","1.311","2.725","572.454","669.086",26202545,227
"Linin1","Linin1",15956,"1332.853","1123.474","72.028","96.658","3.024","3.851","331.205","540.676",69030646,200
"Linth1","Linth1",8029,"1622.226","1144.065","120.029","148.056","1.608","1.617","622.008","762.262",31924598,149
"Linrh1","Linrh1",10230,"1523.628","1080.605","102.055","109.710","1.920","1.892","521.818","640.165",31143728,68
"Lipst1_1","Lipst1_1",8192,"1418.779","1009.343","69.424","102.254","1.846","2.007","498.440","561.148",21267709,117
"Lizem1","Lizem1",12467,"1305.088","1005.571","86.375","120.978","1.614","1.602","499.341","610.460",51521545,423
"LobpulAf1","LobpulAf1",16100,"1383.264","1082.181","83.029","108.420","1.936","2.109","471.115","564.536",55026754,1556
"LobpulSc1","LobpulSc1",16471,"1384.274","1084.540","86.380","114.978","1.952","2.107","468.931","565.475",55851292,1189
"Lobpul1","Lobpul1",15607,"1379.299","1050.847","84.527","111.669","1.974","2.081","463.838","558.558",56119610,1911
"LobpulSp1","LobpulSp1",16296,"1371.407","1080.177","84.067","112.767","1.948","2.089","465.205","563.898",55603861,1257
"LobpulSw1","LobpulSw1",16426,"1341.822","1060.791","87.674","116.034","1.946","2.053","455.444","554.000",54928118,1405
"Lobtra1","Lobtra1",11822,"1572.919","1180.928","155.335","142.533","2.830","2.810","410.668","525.938",42768949,138
"Lodelo1","Lodelo1",5746,"1529.868","1064.931","350.365","290.308","0.009","0.097","1516.147","1068.990",15350449,11
"Lolmi1","Lolmi1",11996,"1311.610","1058.155","108.571","121.773","1.672","1.820","490.908","640.192",37418398,380
"Lopma1","Lopma1",16160,"1482.464","1040.860","83.677","125.358","1.744","1.784","540.221","629.646",42577411,1282
"Lopnu1","Lopnu1",18117,"1476.671","1036.160","79.853","93.842","1.612","1.659","565.253","653.774",48642237,187
"Lopmy1","Lopmy1",15153,"1526.181","1043.715","86.410","179.504","1.879","1.936","530.029","609.644",43412209,49
"Lopnit1_1","Lopnit1_1",19985,"1416.353","966.127","101.254","129.178","2.005","2.027","471.410","538.744",74665558,722
"Lorju1","Lorju1",14372,"1306.035","1033.621","81.198","101.142","2.021","2.057","432.297","559.103",42679920,58
"Lorma1","Lorma1",14665,"1455.886","1025.909","81.082","95.458","2.024","2.055","481.443","574.681",50587134,91
"Lycper1","Lycper1",17361,"1339.295","924.194","68.141","68.821","5.088","4.737","219.995","259.467",64634788,1192
"Macfu1","Macfu1",15801,"1270.941","966.548","69.515","161.423","4.389","4.588","235.847","292.529",46396944,3478
"Macpha1","Macpha1",14845,"1590.056","1101.268","81.601","96.602","1.969","1.855","535.611","644.309",53641247,184
"Macph1","Macph1",13806,"1288.020","1155.353","87.116","94.596","1.504","1.726","514.344","697.346",48882845,1506
"Macan1","Macan1",12954,"1491.534","1073.172","87.310","162.021","1.490","1.524","598.907","695.682",33336106,75
"Maggr1","Maggr1",11054,"1537.100","1146.115","121.878","100.130","1.778","1.636","553.366","701.769",41695457,30
"Magpo1","Magpo1",12335,"1906.476","1425.659","134.354","139.172","1.760","1.703","690.805","833.757",39503331,205
"Malgl1","Malgl1",4286,"1447.587","1067.849","74.488","65.132","0.488","0.965","972.927","1053.272",8958118,67
"Malsy1_1","Malsy1_1",3517,"1530.435","1110.533","63.799","90.731","0.982","1.100","772.133","941.796",7669689,65
"Marfi1","Marfi1",17098,"1140.101","903.159","66.020","56.444","4.571","4.610","204.632","260.134",59447912,1124
"MarPMI226","MarPMI226",12638,"1550.819","1140.153","91.562","109.209","1.775","1.926","558.877","678.944",42252145,35
"Marbr1","Marbr1",10027,"1491.046","1159.301","118.458","192.270","2.468","2.226","429.940","599.521",51949877,89
"Marpt1","Marpt1",8435,"1392.053","1169.563","239.624","283.431","0.593","1.191","874.049","957.202",19815802,529
"Maseb1","Maseb1",12935,"1323.040","1034.768","78.688","94.521","1.616","1.667","505.674","630.763",38236937,233
"Masph1","Masph1",14021,"1476.665","1041.670","80.437","101.513","1.709","1.732","545.109","629.611",42105601,57
"Meimi1","Meimi1",7452,"1484.957","1137.729","125.703","174.432","0.606","1.148","924.855","1049.009",17383515,32
"Melap1finSC_191","Melap1finSC_191",23089,"1117.710","915.845","107.297","129.625","3.511","3.565","247.756","284.550",335730080,3637
"Melame1","Melame1",13917,"1419.346","1015.084","96.700","89.841","4.235","3.872","271.128","322.364",112350849,389
"Mellp2_3","Mellp2_3",19550,"1110.123","878.446","106.284","113.915","3.369","3.480","254.079","300.276",109877997,511
"Melli1","Melli1",16335,"1138.123","1188.434","184.486","526.255","3.183","4.611","272.092","321.990",189516653,21310
"Melmed1","Melmed1",19873,"1253.469","931.215","101.762","115.246","3.858","3.672","258.043","291.916",139726837,2952
"Melsp1","Melsp1",16656,"1419.143","1057.433","134.073","525.703","1.679","1.730","529.639","640.662",58516921,100
"Melbro1","Melbro1",14167,"1237.690","961.913","75.912","97.045","5.397","4.991","193.487","221.225",49614189,1176
"Melpu1","Melpu1",15881,"1487.206","1087.380","80.721","121.068","1.767","1.830","537.574","631.093",42094923,1754
"Meltu1","Meltu1",10192,"1695.268","1096.094","79.311","87.550","2.096","1.882","547.575","654.234",29236165,24
"Melti1","Melti1",8994,"1283.305","1119.426","98.578","124.769","1.411","1.519","532.161","701.335",28361249,420
"Melen1","Melen1",6624,"1855.188","1349.851","117.163","100.447","1.630","1.774","705.278","941.577",19167872,87
"Melbi2","Melbi2",18619,"1460.711","1054.537","90.314","314.064","1.956","2.030","494.095","582.999",82384847,206
"Melva1","Melva1",20389,"1496.213","997.475","81.785","201.048","2.038","2.070","492.529","565.783",55857776,93
"Mereb1","Mereb1",11135,"1407.717","1014.246","88.686","64.704","6.148","5.108","196.943","259.991",30684950,52
"Mersum1","Mersum1",10348,"1580.641","1010.348","67.025","51.913","5.639","4.867","238.068","286.588",32757303,202
"Metac1","Metac1",9849,"1481.116","1197.093","113.113","122.861","1.695","1.780","549.497","718.402",39422329,241
"Metro1","Metro1",11688,"1475.459","1220.187","87.519","81.203","1.590","1.705","569.712","730.316",41656800,90
"Metbi1","Metbi1",5851,"1443.279","1049.636","206.088","367.829","0.266","0.587","1139.934","1011.800",16055203,48
"Metbi_SCcomb","Metbi_SCcomb",4778,"1313.070","973.020","116.822","148.199","0.432","1.102","917.229","897.304",10953298,478
"Metfru2","Metfru2",7362,"1181.146","904.596","247.961","394.477","0.153","0.402","1024.096","886.063",24482224,8430
"Meygui1","Meygui1",5920,"1402.419","955.849","113.867","110.586","0.003","0.050","1398.875","957.072",10609954,9
"Mictr1","Mictr1",13087,"1303.101","1012.503","91.928","110.032","1.874","2.030","453.399","586.298",36100005,13
"Micld1","Micld1",7819,"1958.859","1259.258","102.594","84.316","4.644","3.168","347.057","430.874",26138885,1231
"Micvi1","Micvi1",7819,"1958.859","1259.258","101.211","77.078","4.644","3.168","347.057","430.874",26138885,1231
"Microd1","Microd1",11559,"1653.863","1096.422","81.903","93.529","1.912","1.746","567.995","667.179",38428995,168
"Micbo1","Micbo1",13177,"1528.496","1068.781","105.132","118.473","1.664","1.804","573.817","653.840",38835037,173
"Mictri1","Mictri1",16025,"1526.676","1200.464","112.415","147.590","1.636","1.907","579.121","737.571",49282715,26
"Micca1","Micca1",8915,"1459.425","1183.941","79.940","61.716","2.209","1.963","454.747","637.498",23241642,16
"Micmi1","Micmi1",12494,"1325.771","985.163","76.510","92.069","1.751","1.783","481.909","626.086",37120801,58
"Mixos1","Mixos1",6903,"1614.588","1213.602","62.808","126.776","3.545","2.947","355.258","444.547",13634488,156
"Moeaph1","Moeaph1",6011,"1786.763","1306.930","154.239","141.211","0.837","1.402","972.759","1146.318",17921702,42
"Monha1","Monha1",10959,"1554.961","1231.974","108.576","239.374","2.309","2.375","469.910","615.650",39531920,1279
"Monpu1","Monpu1",8918,"1625.937","1161.483","86.142","147.276","2.195","2.123","508.936","651.142",23439871,296
"Monru1","Monru1",9650,"1587.754","1170.043","84.950","154.281","2.131","2.110","507.110","647.158",24798814,320
"Monili2","Monili2",9189,"1662.764","1201.596","105.578","162.544","1.085","1.789","797.617","834.598",25920869,60
"Monpe1_1","Monpe1_1",13560,"550.898","336.124","57.732","37.343","2.406","2.272","161.738","177.280",18411357,14868
"Morco1","Morco1",11600,"1427.348","1082.414","97.812","189.132","2.459","2.452","412.652","485.114",48213273,540
"Morimp1","Morimp1",11971,"1194.391","1012.966","87.786","97.125","2.225","2.393","370.378","458.248",48802685,338
"Morsny1","Morsny1",11100,"1593.154","1084.908","89.655","100.085","2.679","2.501","433.039","496.905",54771879,81
"Morel2","Morel2",14969,"1515.913","1165.032","176.737","184.578","2.488","2.717","434.607","550.831",49863165,473
"Morel_U14_1","Morel_U14_1",14234,"1646.821","1157.057","176.642","180.544","2.573","2.781","460.971","561.154",50910406,79
"Morhum1","Morhum1",12012,"1516.618","1151.181","145.030","155.669","2.535","2.693","429.074","527.342",36204870,523
"Mormin1_1","Mormin1_1",13383,"1618.725","1144.725","147.224","156.259","2.633","2.738","445.511","539.302",42872265,92
"Mormul1","Mormul1",12248,"1565.809","1152.090","141.731","130.856","2.691","2.744","424.199","521.738",37665308,217
"MorGBAus27b_1","MorGBAus27b_1",13953,"1584.051","1183.415","135.918","133.240","2.591","2.727","441.145","563.378",44971843,140
"Morve1","Morve1",12569,"1696.402","1229.574","147.172","170.113","2.796","2.827","446.910","560.251",41854149,55
"Mrafri1","Mrafri1",9516,"1594.372","1079.487","103.278","63.510","7.019","6.135","198.829","251.848",28159101,118
"Mucci2","Mucci2",11719,"1176.251","925.470","91.141","476.857","2.777","2.585","311.436","398.398",36587022,26
"Kircor1","Kircor1",16794,"1286.977","982.612","61.058","56.371","2.854","2.740","333.918","421.275",40953002,150
"Zyghet1","Zyghet1",14997,"1225.255","927.000","87.128","97.692","3.730","3.403","259.064","306.381",54487678,1219
"Mucmuc1","Mucmuc1",14052,"1340.820","996.116","86.409","104.221","3.026","2.802","333.013","423.533",46091836,456
"Muloch1","Muloch1",10230,"1419.513","1014.290","69.231","59.700","5.018","4.619","235.859","274.254",54697930,772
"Mutel1","Mutel1",14626,"1127.361","953.463","65.817","65.886","4.661","4.788","199.149","247.548",52778615,1095
"Mychet1","Mychet1",9222,"1618.521","1225.036","107.806","113.035","1.876","1.820","562.778","717.316",35441645,87
"Myche1","Myche1",10055,"1346.248","1188.180","109.487","115.003","1.664","1.834","505.415","688.246",35358904,37
"Corsim1","Corsim1",9392,"1534.793","1157.878","101.136","130.238","2.025","2.042","507.420","670.871",31812524,72
"Spoth2","Spoth2",9110,"1754.053","1248.802","126.497","438.061","1.828","1.820","620.151","754.343",38744216,7
"Mycalb1","Mycalb1",36941,"1254.622","874.724","74.588","100.570","4.815","4.788","215.746","256.685",126717228,188
"Mycale1","Mycale1",32245,"1319.248","897.130","71.966","97.410","4.980","4.883","220.624","260.236",132306732,953
"Mycami1","Mycami1",25102,"1377.566","873.556","61.646","75.795","4.894","4.679","233.736","273.898",81431410,401
"Mycbel1","Mycbel1",18074,"1430.354","930.933","66.381","88.454","5.210","5.077","230.348","278.247",56444626,265
"Mycrub1","Mycrub1",37256,"1184.968","843.896","71.790","94.720","4.601","4.777","211.575","255.133",119906144,118
"Myccro1","Myccro1",30221,"1332.819","897.151","72.322","92.973","5.009","4.921","221.821","267.691",93990387,325
"Mycepi1","Mycepi1",37562,"1187.849","864.884","72.380","94.120","4.667","4.765","209.601","253.990",118648059,199
"Mycfil1","Mycfil1",27376,"1386.202","885.242","68.289","90.052","5.235","5.086","222.343","271.966",112004863,277
"Mycflo1","Mycflo1",29475,"1256.357","897.840","66.208","83.553","4.779","4.561","217.404","271.993",118533562,249
"Mycgal1","Mycgal1",48161,"1148.105","830.905","77.733","111.702","4.439","4.537","211.074","252.475",211361780,1364
"Mychae1","Mychae1",20804,"1279.419","906.046","65.659","76.433","4.708","4.986","224.149","263.750",62806267,1062
"Mycreb1","Mycreb1",52307,"1208.550","849.708","76.383","110.525","4.666","4.719","213.288","256.946",218590756,760
"Mycros1","Mycros1",34059,"1149.520","840.427","76.476","108.976","4.543","4.650","207.365","238.680",129492142,1705
"Mycsan1","Mycsan1",34874,"1279.632","852.203","72.188","97.245","4.809","4.837","220.278","263.439",115408990,198
"Myc59_1","Myc59_1",36957,"1139.118","851.468","75.356","105.587","4.369","4.578","212.147","231.438",177780440,1786
"Mycvit1","Mycvit1",27952,"1373.287","903.330","68.099","86.533","4.863","4.861","234.239","286.737",83665095,397
"Mycgr3","Mycgr3",10933,"1383.005","1021.514","134.900","447.532","1.612","1.770","529.574","676.894",39686251,21
"Mycafr1","Mycafr1",10917,"1382.331","1078.803","96.524","79.618","2.847","2.707","359.333","464.015",29202882,40
"Myrian1","Myrian1",9767,"1681.704","1160.218","65.235","69.143","1.447","1.537","687.276","808.106",24765939,26
"Myrdu1","Myrdu1",10685,"1541.364","1200.019","72.828","112.803","1.370","1.502","650.274","830.192",25685045,16
"Myrin1","Myrin1",13553,"1373.581","1393.796","85.213","111.173","1.796","1.963","491.204","754.096",39207821,62
"Lophiu1","Lophiu1",12216,"1684.719","1061.355","78.973","85.280","2.129","1.977","538.433","633.048",33900907,70
