Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Meira miltonrushii str. MCA 3882 (GCA_003144205),Meira miltonrushii str. MCA 3882,MCA 3882,,Ensembl-Genbank,,,
Melampsora allii-populina 12AY07 v1.0,Melampsora allii-populina 12AY07,12AY07,,JGI,,,
Melampsora larici-populina,Melampsora larici-populina,98AG31,Basidiomycota,Ensembl-Genbank,,,
Melampsora larici-populina 98AG31,Melampsora larici-populina 98AG31,98AG31,Basidiomycota,FungiDB,,,
Melampsora lini CH5,Melampsora lini CH5,CH5,,JGI,,,
Melanconium sp. NRRL 54901 v1.0,Melanconium sp. NRRL 54901,NRRL 54901,,JGI,,,
Melanogaster broomeianus MBLB.BST v1.0,Melanogaster broomeianus MBLB.BST,MBLB.BST,,JGI,,,
Melanomma pulvis-pyrius v1.0,Melanomma pulvis-pyrius,CBS 109.77,,JGI,,,
Melanops tulasnei CBS 116805 v1.0,Melanops tulasnei CBS 116805,CBS 116805,,JGI,,,
Melanospora tiffanyae F1KG0001 v1.0,Melanospora tiffanyae F1KG0001,F1KG0001,,JGI,,,
Melanotaenium endogenum CBS481.91 v1.0,Melanotaenium endogenum CBS481.91,CBS 481.91,,JGI,,,
Meliniomyces bicolor E (GCA_002865645),Meliniomyces bicolor E,E,,Ensembl-Genbank,,,
Meliniomyces bicolor E v2.0,Meliniomyces bicolor E,E,,JGI,,,
Meliniomyces variabilis F (GCA_002865655),Meliniomyces variabilis F,F,,Ensembl-Genbank,,,
Meliniomyces variabilis F v1.0,Meliniomyces variabilis F,F,,JGI,,,
Meredithblackwellia eburnea MCA 4105 v1.0,Meredithblackwellia eburnea MCA 4105,MCA 4105,,JGI,,,
Meripilus sumstinei FP 105329 v1.0,Meripilus sumstinei FP 105329,FP 105329,Ascomycota,JGI,,,
Metarhizium acridum CQMa 102,Metarhizium acridum CQMa 102,CQMa 102,Ascomycota,JGI,,,
Metarhizium acridum CQMa 102 (GCA_000187405),Metarhizium acridum CQMa 102,CQMa 102,Ascomycota,Ensembl-Genbank,,,
Metarhizium album ARSEF 1941 (GCA_000804445),Metarhizium album ARSEF 1941,ARSEF 1941,Ascomycota,Ensembl-Genbank,,,
Metarhizium anisopliae ARSEF 549 (GCA_000814975),Metarhizium anisopliae ARSEF 549,ARSEF 549,Ascomycota,Ensembl-Genbank,,,
Metarhizium anisopliae BRIP 53284 (GCA_000426985),Metarhizium anisopliae BRIP 53284,BRIP 53284,Ascomycota,Ensembl-Genbank,,,
Metarhizium anisopliae BRIP 53293 (GCA_000426965),Metarhizium anisopliae BRIP 53293,BRIP 53293,Ascomycota,Ensembl-Genbank,,,
Metarhizium anisopliae str. E6 (GCA_000739145),Metarhizium anisopliae str. E6,E6,Ascomycota,Ensembl-Genbank,,,
Metarhizium brunneum ARSEF 3297 (GCA_000814965),Metarhizium brunneum ARSEF 3297,ARSEF 3297,Ascomycota,Ensembl-Genbank,,,
Metarhizium guizhouense ARSEF 977 (GCA_000814955),Metarhizium guizhouense ARSEF 977,ARSEF 977,Ascomycota,Ensembl-Genbank,,,
Metarhizium majus ARSEF 297 (GCA_000814945),Metarhizium majus ARSEF 297,ARSEF 297,Ascomycota,Ensembl-Genbank,,,
Metarhizium rileyi RCEF 4871 (GCA_001636745),Metarhizium rileyi RCEF 4871,RCEF 4871,Ascomycota,Ensembl-Genbank,,,
Metarhizium robertsii (GCA_000591435),Metarhizium robertsii,ARSEF 2575,Ascomycota,Ensembl-Genbank,,,
Metarhizium robertsii ARSEF 23,Metarhizium robertsii ARSEF 23,ARSEF 23,Ascomycota,JGI,,,
Metarhizium robertsii ARSEF 23 (GCA_000187425),Metarhizium robertsii ARSEF 23,ARSEF 23,Ascomycota,Ensembl-Genbank,,,
Metschnikowia bicuspidata NRRL YB-4993 v1.0,Metschnikowia bicuspidata NRRL YB-4993,NRRL YB-4993,Ascomycota,JGI,,,
Metschnikowia bicuspidata single-cell v1.0,Metschnikowia bicuspidata single-cell,,Ascomycota,JGI,,,
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993 (GCA_001664035),Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,NRRL YB-4993,Ascomycota,Ensembl-Genbank,,,
Metschnikowia fructicola 277,Metschnikowia fructicola 277,277,Ascomycota,JGI,,,
Meyerozyma guilliermondii ATCC 6260,Meyerozyma guilliermondii ATCC 6260,ATCC 6260,Ascomycota,JGI,,,
Meyerozyma guilliermondii ATCC 6260 (GCA_000149425),Meyerozyma guilliermondii ATCC 6260,ATCC 6260,Ascomycota,Ensembl-Genbank,,,
Microascus trigonosporus CBS 218.31 v1.0,Microascus trigonosporus CBS 218.31,CBS 218.31,Ascomycota,JGI,,,
Microbotryum intermedium (GCA_900096595),Microbotryum intermedium,,Basidiomycota,Ensembl-Genbank,,,
Microbotryum lychnidis-dioicae p1A1 Lamole,Microbotryum lychnidis-dioicae p1A1 Lamole,p1A1 Lamole,Basidiomycota,JGI,,,
Microbotryum violaceum,Microbotryum violaceum,p1A1 Lamole,Basidiomycota,Ensembl-Genbank,,,
Microdiplodia sp. AK1800 v1.0,Microdiplodia sp. AK1800,AK1800,,JGI,,,
Microdochium bolleyi J235TASD1 v1.0,Microdochium bolleyi J235TASD1,J235TASD1,,JGI,,,
Microdochium bolleyi str. J235TASD1 (GCA_001566295),Microdochium bolleyi str. J235TASD1,J235TASD1,,Ensembl-Genbank,,,
Microdochium trichocladiopsis MPI-CAGE-CH-0230 v1.0,Microdochium trichocladiopsis MPI-CAGE-CH-0230,MPI-CAGE-CH-0230,,JGI,,,
Microsporum canis CBS 113480,Microsporum canis CBS 113480,CBS 113480,,JGI,,,
Microsporum canis CBS 113480 (GCA_000151145),Microsporum canis CBS 113480,CBS 113480,,Ensembl-Genbank,,,
Microthyrium microscopicum CBS 115976 v1.0,Microthyrium microscopicum CBS 115976,CBS 115976,,JGI,,,
Millerozyma farinosa CBS 7064 (GCA_000315895),Millerozyma farinosa CBS 7064,CBS 7064,,Ensembl-Genbank,,,
Mitosporidium daphniae str. UGP3 (GCA_000760515),Mitosporidium daphniae str. UGP3,UGP3,,Ensembl-Genbank,,,
Mixia osmundae IAM 14324 (GCA_000241205),Mixia osmundae IAM 14324,IAM 14324,,Ensembl-Genbank,,,
Mixia osmundae IAM 14324 (GCA_000708205),Mixia osmundae IAM 14324,IAM 14324,,Ensembl-Genbank,,,
Mixia osmundae IAM 14324 v1.0,Mixia osmundae IAM 14324,IAM 14324,,JGI,,,
Moelleriella libera RCEF 2490 (GCA_001636675),Moelleriella libera RCEF 2490,RCEF 2490,,Ensembl-Genbank,,,
Moesziomyces antarcticus str. JCM 10317 (GCA_000747765),Moesziomyces antarcticus str. JCM 10317,JCM 10317,,Ensembl-Genbank,,,
Moesziomyces antarcticus T-34 (GCA_000334475),Moesziomyces antarcticus T-34,T-34,,Ensembl-Genbank,,,
Moesziomyces aphidis DSM 70725,Moesziomyces aphidis DSM 70725,DSM 70725,,JGI,,,
Moesziomyces aphidis DSM 70725 (GCA_000517465),Moesziomyces aphidis DSM 70725,DSM 70725,,Ensembl-Genbank,,,
Monacrosporium haptotylum CBS 200.50,Monacrosporium haptotylum CBS 200.50,CBS 200.50,,JGI,,,
Monascus purpureus v1.0,Monascus purpureus,NRRL 1596,Ascomycota,JGI,,,
Monascus ruber NRRL 1597 v1.0,Monascus ruber NRRL 1597,NRRL 1597,Ascomycota,JGI,,,
Moniliella sp. MCA 3643 v1.0,Moniliella sp. MCA 3643,MCA 3643,,JGI,,,
Moniliophthora perniciosa FA553,Moniliophthora perniciosa FA553,FA553,,JGI,,,
Moniliophthora perniciosa FA553 (GCA_000183025),Moniliophthora perniciosa FA553,FA553,,Ensembl-Genbank,,,
Moniliophthora roreri MCA 2997 (GCA_000488995),Moniliophthora roreri MCA 2997,MCA 2997,,Ensembl-Genbank,,,
Moniliophthora roreri str. MCA 2952 (GCA_001466705),Moniliophthora roreri str. MCA 2952,MCA 2952,,Ensembl-Genbank,,,
Morchella importuna CCBAS932 v1.0,Morchella importuna CCBAS932,CCBAS932,,JGI,,,
Morchella importuna SCYDJ1-A1 v1.0,Morchella importuna SCYDJ1-A1,SCYDJ1-A1,,JGI,,,
Mortierella elongata AG-77,Mortierella elongata AG-77,AG-77,,Ensembl-Genbank,,,
Mortierella elongata AG-77 v2.0,Mortierella elongata AG-77,AG-77,,JGI,,,
Mortierella elongata MPI-CAGE-AA-0104 v1.0,Mortierella elongata MPI-CAGE-AA-0104,MPI-CAGE-AA-0104,,JGI,,,
Mortierella multidivaricata RSA 2152 T v1.0,Mortierella multidivaricata RSA 2152 T,RSA 2152 T,,JGI,,,
Mortierella verticillata NRRL 6337 (GCA_000739165),Mortierella verticillata NRRL 6337,NRRL 6337,,Ensembl-Genbank,,,
Mrakia frigida ATCC 22029 v1.0,Mrakia frigida ATCC 22029,ATCC 22029,,JGI,,,
Mucor ambiguus str. NBRC 6742 (GCA_000950595),Mucor ambiguus str. NBRC 6742,NBRC 6742,,Ensembl-Genbank,,,
Mucor circinelloides CBS277.49 v2.0,Mucor circinelloides CBS277.49,CBS 277.49,,JGI,,,
Mucor circinelloides f. circinelloides 1006PhL (GCA_000401635),Mucor circinelloides f. circinelloides 1006PhL,1006PhL,,Ensembl-Genbank,,,
Mucor circinelloides f. lusitanicus CBS 277.49,Mucor circinelloides f. lusitanicus CBS 277.49,CBS 277.49,Mucoromycota,FungiDB,,,
Mucor circinelloides f. lusitanicus CBS 277.49,Mucor circinelloides f. lusitanicus CBS 277.49,CBS 277.49,,Ensembl-Genbank,,,
Mucor cordense RSA 1222 v1.0,Mucor cordense RSA 1222,RSA 1222,,JGI,,,
Mucor heterogamus NRRL 1489 v1.0,Mucor heterogamus NRRL 1489,NRRL 1489,,JGI,,,
Mucor mucedo NRRL 3635 v1.0,Mucor mucedo NRRL 3635,NRRL 3635,,JGI,,,
Multifurca ochricompacta BPL690 v1.0,Multifurca ochricompacta BPL690,BPL690,,JGI,,,
Mutinus elegans ME.BST v1.0,Mutinus elegans ME.BST,ME.BST,,JGI,,,
Mycena albidolilacea CBHHK002 v1.0,Mycena albidolilacea CBHHK002,CBHHK002,,JGI,,,
Mycena alexandri CBHHK200 v1.0,Mycena alexandri CBHHK200,CBHHK200,,JGI,,,
Mycena amicta BAPX v1.0,Mycena amicta BAPX,BAPX,,JGI,,,
Mycena belliae CBHHK173m v1.0,Mycena belliae CBHHK173m,CBHHK173m,,JGI,,,
Mycena capillaripes Frankland 9286 v1.0,Mycena capillaripes Frankland 9286,Frankland 9286,,JGI,,,
Mycena crocata CBHHK184 v1.0,Mycena crocata CBHHK184,CBHHK184,,JGI,,,
Mycena epipterygia CBHHK145m v1.0,Mycena epipterygia CBHHK145m,CBHHK145m,,JGI,,,
Mycena filopes CBHHK001 v1.0,Mycena filopes CBHHK001,CBHHK001,,JGI,,,
Mycena floridula CBHHK072 v1.0,Mycena floridula CBHHK072,CBHHK072,,JGI,,,
Mycena galericulata CBHHK162m v1.0,Mycena galericulata CBHHK162m,CBHHK162m,,JGI,,,
Mycena haematopus CBHHK189 v1.0,Mycena haematopus CBHHK189,CBHHK189,,JGI,,,
Mycena latifolia 10383 v1.0,Mycena latifolia 10383,10383,,JGI,,,
Mycena leptocephala CBHHK5/15 v1.0,Mycena leptocephala CBHHK5/15,CBHHK5/15,,JGI,,,
Mycena maculata CBHHK188m v1.0,Mycena maculata CBHHK188m,CBHHK188m,,JGI,,,
Mycena metata CBHHK182m v1.0,Mycena metata CBHHK182m,CBHHK182m,,JGI,,,
Mycena olivaceomarginata CBHHK47/15 v1.0,Mycena olivaceomarginata CBHHK47/15,CBHHK47/15,,JGI,,,
Mycena polygramma CBHHK137 v1.0,Mycena polygramma CBHHK137,CBHHK137,,JGI,,,
Mycena rebaudengoi CBHHK068 v1.0,Mycena rebaudengoi CBHHK068,CBHHK068,,JGI,,,
Mycena rosella CBHHK067 v1.0,Mycena rosella CBHHK067,CBHHK067,,JGI,,,
Mycena sanguinolenta CBHHK176m v1.0,Mycena sanguinolenta CBHHK176m,CBHHK176m,,JGI,,,
Mycena sp. CBHHK59/15 v1.0,Mycena sp. CBHHK59/15,CBHHK59/15,,JGI,,,
Mycena vitilis CBHHK169m v1.0,Mycena vitilis CBHHK169m,CBHHK169m,,JGI,,,
Mycena vulgaris CBHHK164 v1.0,Mycena vulgaris CBHHK164,CBHHK164,,JGI,,,
Mycosphaerella eumusae str. CBS 114824 (GCA_001578235),Mycosphaerella eumusae str. CBS 114824,CBS 114824,,Ensembl-Genbank,,,
Mycosphaerella graminicola v2.0,Zymoseptoria tritici,IPO323,Ascomycota,JGI,,,
Mycotypha africana NRRL 2978 v1.0,Mycotypha africana NRRL 2978,NRRL 2978,,JGI,,,
Myriangiaceae sp. NC1570 v1.0,Myriangiaceae sp. NC1570,NC1570,,JGI,,,
Myriangium duriaei CBS 260.36 v1.0,Myriangium duriaei CBS 260.36,CBS 260.36,,JGI,,,
Myrothecium inundatum CBS 120646 v1.0,Myrothecium inundatum CBS 120646,CBS 120646,,JGI,,,
Mytilinidiaceae sp. NC0267 v1.0,Mytilinidiaceae sp. NC0267,NC0267,,JGI,,,
Mytilinidion resinicola CBS 304.34 v1.0,Mytilinidion resinicola CBS 304.34,CBS 304.34,,JGI,,,
Myxozyma melibiosi Phaff 52-87 v1.0,Myxozyma melibiosi Phaff 52-87,Phaff 52-87,,JGI,,,
Nadsonia fulvescens var. elongata DSM 6958 (GCA_001661315),Nadsonia fulvescens var. elongata DSM 6958,DSM 6958,,Ensembl-Genbank,,,
Nadsonia fulvescens var. elongata DSM 6958 v1.0,Nadsonia fulvescens var. elongata DSM 6958,DSM 6958,,JGI,,,
Naematelia encephala str. 68-887.2 (GCA_002105065),Naematelia encephala str. 68-887.2,68-887.2,,Ensembl-Genbank,,,
Naematella encephela UCDFST 68-887.2 v1.0,Naematella encephela UCDFST 68-887.2,UCDFST 68-887.2,,JGI,,,
Naganishia albida JCM2334,Naganishia albida JCM2334,JCM2334,Basidiomycota,FungiDB,,,
Naganishia albida NRRL Y-1402,Naganishia albida NRRL Y-1402,NRRL Y-1402,Basidiomycota,FungiDB,,,
Naiadella fluitans ATCC 64713 v1.0,Naiadella fluitans ATCC 64713,ATCC 64713,,JGI,,,
Nakaseomyces bacillisporus CBS 7720,Nakaseomyces bacillisporus CBS 7720,CBS 7720,,JGI,,,
Nakaseomyces delphensis CBS 2170,Nakaseomyces delphensis CBS 2170,CBS 2170,,JGI,,,
Nakazawaea wickerhamii NRRL Y-2563,Nakazawaea wickerhamii NRRL Y-2563,NRRL Y-2563,,JGI,,,
Nannizzia gypsea CBS 118893 (GCA_000150975),Nannizzia gypsea CBS 118893,CBS 118893,,Ensembl-Genbank,,,
Naohidea sebacea CBS 8477 (P95) v1.0,Naohidea sebacea CBS 8477 (P95),CBS 8477 (P95),,JGI,,,
Naumovozyma castellii CBS 4309 (GCA_000237345),Naumovozyma castellii CBS 4309,CBS 4309,,Ensembl-Genbank,,,
Naumovozyma dairenensis CBS 421 (GCA_000227115),Naumovozyma dairenensis CBS 421,CBS 421,,Ensembl-Genbank,,,
Nectria haematococca v2.0,Nectria haematococca,77-13-4,Ascomycota,JGI,,,
Nectriopsis sporangicola NRRL 22127 v1.0,Nectriopsis sporangicola NRRL 22127,NRRL 22127,,JGI,,,
Nematocida displodere str. JUm2807 (GCA_001642395),Nematocida displodere str. JUm2807,JUm2807,,Ensembl-Genbank,,,
Nematocida parisii ERTm1,Nematocida parisii ERTm1,ERTm1,,JGI,,,
Nematocida parisii ERTm1 (GCA_000250985),Nematocida parisii ERTm1,ERTm1,,Ensembl-Genbank,,,
Nematocida parisii ERTm3 (GCA_000190615),Nematocida parisii ERTm3,ERTm3,,Ensembl-Genbank,,,
Nematocida sp. 1 ERTm2 (GCA_000250695),Nematocida sp. 1 ERTm2,1 ERTm2,,Ensembl-Genbank,,,
Nematocida sp. 1 ERTm6 (GCA_000738915),Nematocida sp. 1 ERTm6,1 ERTm6,,Ensembl-Genbank,,,
Nematocida sp. ERTm5 (GCA_001642415),Nematocida sp. ERTm5,ERTm5,,Ensembl-Genbank,,,
Neocallimastix californiae G1 v1.0,Neocallimastix californiae G1,G1,,JGI,,,
Neocallimastix californiae str. G1 (GCA_002104975),Neocallimastix californiae str. G1,G1,,Ensembl-Genbank,,,
Neofusicoccum parvum UCRNP2,Neofusicoccum parvum UCRNP2,UCRNP2,,JGI,,,
Neofusicoccum parvum UCRNP2 (GCA_000385595),Neofusicoccum parvum UCRNP2,UCRNP2,,Ensembl-Genbank,,,
Neolecta irregularis DAH-1 v1.0,Neolecta irregularis DAH-1,DAH-1,,JGI,,,
Neolecta irregularis DAH-3 (GCA_001929475),Neolecta irregularis DAH-3,DAH-3,,Ensembl-Genbank,,,
Neolentinus lepideus v1.0,Neolentinus lepideus,HHB14362 ss-1,Basidiomycota,JGI,,,
Neolentinus lepideus HHB14362 ss-1 (GCA_001632425),Neolentinus lepideus HHB14362 ss-1,HHB14362 ss-1,,Ensembl-Genbank,,,
Neonectria ditissima R09/05,Neonectria ditissima R09/05,R09/05,,JGI,,,
Neonectria ditissima str. R09/05 (GCA_001306435),Neonectria ditissima str. R09/05,R09/05,,Ensembl-Genbank,,,
Neonectria radicicola MPI-CAGE-AT-0134 v1.0,Neonectria radicicola MPI-CAGE-AT-0134,MPI-CAGE-AT-0134,,JGI,,,
Neosartorya fischeri NRRL 181,Neosartorya fischeri NRRL 181,NRRL 181,,JGI,,,
Neurospora crassa,Neurospora crassa,OR74A,,Ensembl-Genbank,,,
Neurospora crassa clade B FGSC 4830 v1.0,Neurospora crassa clade B FGSC 4830,clade B FGSC 4830,,JGI,,,
Neurospora crassa FGSC 73 trp-3 v1.0,Neurospora crassa FGSC 73 trp-3,FGSC 73 trp-3,,JGI,,,
Neurospora crassa OR74A,Neurospora crassa OR74A,OR74A,Ascomycota,FungiDB,,,
Neurospora crassa OR74A v2.0,Neurospora crassa OR74A,OR74A,,JGI,,,
Neurospora crassa str. 73 (GCA_000786625),Neurospora crassa str. 73,73,,Ensembl-Genbank,,,
Neurospora discreta FGSC 8579,Neurospora discreta FGSC 8579,FGSC 8579,Ascomycota,FungiDB,,,
Neurospora hispaniola FGSC 10403 v1.0,Neurospora hispaniola FGSC 10403,FGSC 10403,,JGI,,,
Neurospora tetrasperma FGSC 2508,Neurospora tetrasperma FGSC 2508,FGSC 2508,Ascomycota,FungiDB,,,
Neurospora tetrasperma FGSC 2508 (GCA_000213175),Neurospora tetrasperma FGSC 2508,FGSC 2508,,Ensembl-Genbank,,,
Neurospora tetrasperma FGSC 2509 mat a v1.0,Neurospora tetrasperma FGSC 2509 mat a,FGSC 2509 mat a,,JGI,,,
Neurospora tetrasperma FGSC 2509 str. FGSC 2509 mat a (GCA_000213195),Neurospora tetrasperma FGSC 2509 mat a,FGSC 2509 mat a,,Ensembl-Genbank,,,
Nia vibrissa CBS 119815 v1.0,Nia vibrissa CBS 119815,CBS 119815,,JGI,,,
Niesslia exilis CBS 358.70 v1.0,Niesslia exilis CBS 358.70,CBS 358.70,,JGI,,,
Nosema apis BRL 01 (GCA_000447185),Nosema apis BRL 01,BRL 01,,Ensembl-Genbank,,,
Nosema bombycis CQ1 (GCA_000383075),Nosema bombycis CQ1,CQ1,,Ensembl-Genbank,,,
Nosema ceranae (GCA_000988165),Nosema ceranae,,Microsporidia,Ensembl-Genbank,,,
Nosema ceranae BRL01,Nosema ceranae BRL01,BRL01,,JGI,,,
Nosema ceranae BRL01 (GCA_000182985),Nosema ceranae BRL01,BRL01,,Ensembl-Genbank,,,
Obba rivulosa 3A-2 v1.0,Obba rivulosa 3A-2,3A-2,,JGI,,,
Obelidium mucronatum JEL802 v1.0,Obelidium mucronatum JEL802,JEL802,,JGI,,,
Ogataea parapolymorpha DL-1 (GCA_000187245),Ogataea parapolymorpha DL-1,DL-1,,Ensembl-Genbank,,,
Ogataea polymorpha NCYC 495 leu1.1 v2.0,Ogataea polymorpha NCYC 495 leu1.1,NCYC 495 leu1.1,,JGI,,,
Ogataea polymorpha str. NCYC 495 leu1.1 (GCA_001664045),Ogataea polymorpha str. NCYC 495 leu1.1,NCYC 495 leu1.1,,Ensembl-Genbank,,,
Oidiodendron maius Zn (GCA_000827325),Oidiodendron maius Zn,Zn,,Ensembl-Genbank,,,
Oidiodendron maius Zn v1.0,Oidiodendron maius Zn,Zn,,JGI,,,
Oliveonia pauxilla MPI-PUGE-AT-0066 v1.0,Oliveonia pauxilla MPI-PUGE-AT-0066,MPI-PUGE-AT-0066,,JGI,,,
Omphalotus olearius,Omphalotus olearius,VT-653.13,Basidiomycota,JGI,,,
Ophiobolus disseminans CBS 113818 v1.0,Ophiobolus disseminans CBS 113818,CBS 113818,,JGI,,,
Ophiocordyceps australis (GCA_002591405),Ophiocordyceps australis,1348a,,Ensembl-Genbank,,,
Ophiocordyceps australis (GCA_002591415),Ophiocordyceps australis,Map64,,Ensembl-Genbank,,,
Ophiocordyceps camponoti-rufipedis (GCA_002591395),Ophiocordyceps camponoti-rufipedis,Map16,,Ensembl-Genbank,,,
Ophiocordyceps sinensis CO18 (GCA_000448365),Ophiocordyceps sinensis CO18,CO18,,Ensembl-Genbank,,,
Ophiocordyceps unilateralis str. SC16a (GCA_001272575),Ophiocordyceps unilateralis str. SC16a,SC16a,,Ensembl-Genbank,,,
Ophiostoma novo-ulmi subsp. novo-ulmi H327,Ophiostoma novo-ulmi subsp. novo-ulmi H327,H327,,JGI,,,
Ophiostoma piceae UAMH 11346,Ophiostoma piceae UAMH 11346,UAMH 11346,,JGI,,,
Ophiostoma piceae UAMH 11346 str. UAMH-11346 (GCA_000410735),Ophiostoma piceae UAMH 11346,UAMH 11346,,Ensembl-Genbank,,,
Ordospora colligata OC4 (GCA_000803265),Ordospora colligata OC4,OC4,,Ensembl-Genbank,,,
Pachysolen tannophilus NRRL Y-2460 (GCA_001661245),Pachysolen tannophilus NRRL Y-2460,NRRL Y-2460,,Ensembl-Genbank,,,
Pachysolen tannophilus NRRL Y-2460 v1.2,Pachysolen tannophilus NRRL Y-2460,NRRL Y-2460,,JGI,,,
Paecilomyces niveus CO7 v1.0,Paecilomyces niveus CO7,CO7,,JGI,,,
Paecilomyces variotii CBS 101075 v1.0,Paecilomyces variotii CBS 101075,CBS 101075,,JGI,,,
Paecilomyces variotii CBS144490 HYG1 v1.0,Paecilomyces variotii CBS144490 HYG1,CBS 144490 HYG1,,JGI,,,
Panellus stipticus KUC8834 v1.1,Panellus stipticus KUC8834,KUC8834,,JGI,,,
Panellus stipticus LUM v1.0,Panellus stipticus LUM,LUM,,JGI,,,
Papiliotrema laurentii 5307AH v1.0,Papiliotrema laurentii 5307AH,5307AH,,JGI,,,
Paracoccidioides brasiliensis Pb03,Paracoccidioides brasiliensis Pb03,Pb03,Ascomycota,FungiDB,,,
Paracoccidioides brasiliensis Pb03,Paracoccidioides brasiliensis Pb03,Pb03,,JGI,,,
Paracoccidioides brasiliensis Pb03 (GCA_000150475),Paracoccidioides brasiliensis Pb03,Pb03,,Ensembl-Genbank,,,
Paracoccidioides brasiliensis Pb18,Paracoccidioides brasiliensis Pb18,Pb18,Ascomycota,FungiDB,,,
Paracoccidioides brasiliensis Pb18,Paracoccidioides brasiliensis Pb18,Pb18,,JGI,,,
Paracoccidioides brasiliensis Pb18 (GCA_000150735),Paracoccidioides brasiliensis Pb18,Pb18,,Ensembl-Genbank,,,
Paracoccidioides brasiliensis str. CNH (GCA_001713695),Paracoccidioides brasiliensis str. CNH,CNH,,Ensembl-Genbank,,,
Paracoccidioides brasiliensis str. Pb300 (GCA_001713645),Paracoccidioides brasiliensis str. Pb300,Pb300,,Ensembl-Genbank,,,
Paracoccidioides lutzii Pb01,Paracoccidioides lutzii Pb01,Pb01,Ascomycota,FungiDB,,,
Paracoccidioides lutzii Pb01 (GCA_000150705),Paracoccidioides lutzii Pb01,Pb01,,Ensembl-Genbank,,,
Paraconiothyrium sporulosum AP3s5-JAC2a v1.0,Paraconiothyrium sporulosum AP3s5-JAC2a,AP3s5-JAC2a,,JGI,,,
Paramicrosporidium saccamoebae str. KSL3 (GCA_002794465),Paramicrosporidium saccamoebae str. KSL3,KSL3,,Ensembl-Genbank,,,
Paraphaeosphaeria sporulosa str. AP3s5-JAC2a (GCA_001642045),Paraphaeosphaeria sporulosa str. AP3s5-JAC2a,AP3s5-JAC2a,,Ensembl-Genbank,,,
Paraphoma chrysanthemicola MPI-GEGE-AT-0034 v1.0,Paraphoma chrysanthemicola MPI-GEGE-AT-0034,MPI-GEGE-AT-0034,,JGI,,,
Paraphoma chrysanthemicola MPI-SDFR-AT-0120 v1.0,Paraphoma chrysanthemicola MPI-SDFR-AT-0120,MPI-SDFR-AT-0120,,JGI,,,
Paraphysoderma sedebokerense JEL821 v1.0,Paraphysoderma sedebokerense JEL821,JEL821,,JGI,,,
Parasitella parasitica v1.0,Parasitella parasitica,NRRL 2501,,JGI,,,
Cladosporium fulvum v1.0,Passalora fulva CBS 131901,CBS 131901,Ascomycota,JGI,,,New name
Patellaria atrata v1.0,Patellaria atrata,CBS 101060 ,,JGI,,,
Paxillus adelphus Ve08.2h10 v2.0,Paxillus adelphus Ve08.2h10,Ve08.2h10,,JGI,,,
Paxillus ammoniavirescens Pou09.2 v1.0,Paxillus ammoniavirescens Pou09.2,Pou09.2,,JGI,,,
Paxillus involutus ATCC 200175 (GCA_000827475),Paxillus involutus ATCC 200175,ATCC 200175,,Ensembl-Genbank,,,
Paxillus involutus ATCC 200175 v1.0,Paxillus involutus ATCC 200175,ATCC 200175,,JGI,,,
Paxillus rubicundulus Ve08.2h10 (GCA_000827395),Paxillus rubicundulus Ve08.2h10,Ve08.2h10,,Ensembl-Genbank,,,
Orpinomyces sp.,Pecoramyces ruminatium,C1A,,JGI,,,
Penicilliopsis zonata CBS 506.65 (GCA_001890105),Penicilliopsis zonata CBS 506.65,CBS 506.65,,Ensembl-Genbank,,,
Penicillium antarcticum (GCA_002072345),Penicillium antarcticum,IBT 31811,,Ensembl-Genbank,,,
Penicillium antarcticum IBT 31811,Penicillium antarcticum IBT 31811,IBT 31811,,JGI,,,
Penicillium arizonense (GCA_001773325),Penicillium arizonense,CBS 141311,,Ensembl-Genbank,,,
Penicillium brasilianum str. LaBioMMi 136 (GCA_002016555),Penicillium brasilianum str. LaBioMMi 136,LaBioMMi 136,,Ensembl-Genbank,,,
Penicillium brasilianum str. MG11 (GCA_001048715),Penicillium brasilianum str. MG11,MG11,,Ensembl-Genbank,,,
Penicillium brevicompactum 1011305 v2.0,Penicillium brevicompactum 1011305,1011305,,JGI,,,
Penicillium camemberti FM 013 (GCA_000513335),Penicillium camemberti FM 013,FM 013,,Ensembl-Genbank,,,
Penicillium chrysogenum v1.0,Penicillium chrysogenum,,,JGI,,NO,Unknown strain was a contaminant?
Penicillium chrysogenum str. P2niaD18 (GCA_000710275),Penicillium chrysogenum str. P2niaD18,P2niaD18,,Ensembl-Genbank,,,
Penicillium chrysogenum Wisconsin 54-1255,Penicillium chrysogenum Wisconsin 54-1255,Wisconsin 54-1255,,JGI,,,
Penicillium coprophilum (GCA_002072405),Penicillium coprophilum,IBT 31321,,Ensembl-Genbank,,,
Penicillium coprophilum IBT 31321,Penicillium coprophilum IBT 31321,IBT 31321,,JGI,,,
Penicillium decumbens (GCA_002072245),Penicillium decumbens,IBT 11843,,Ensembl-Genbank,,,
Penicillium decumbens IBT 11843,Penicillium decumbens IBT 11843,IBT 11843,,JGI,,,
Penicillium digitatum Pd1,Penicillium digitatum Pd1,Pd1,,JGI,,,
Penicillium digitatum Pd1 (GCA_000315645),Penicillium digitatum Pd1,Pd1,,Ensembl-Genbank,,,
